invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,sales,cogs,profit,inventory_days,movement_type,profit_margin,overstock_alert
I138884,C241288,Female,28,Clothing,5,1500.4,Credit Card,05-08-2022,Kanyon,7502.0,5251.4,2250.6000000000004,107,Slow Moving,30.000000000000004,Healthy
I317333,C111565,Male,21,Shoes,3,1800.51,Debit Card,12-12-2021,Forum Istanbul,5401.53,3781.0709999999995,1620.4590000000003,56,Fast Moving,30.000000000000004,Healthy
I127801,C266599,Male,20,Clothing,1,300.08,Cash,09-11-2021,Metrocity,300.08,210.05599999999998,90.024,97,Slow Moving,30.000000000000004,Healthy
I173702,C988172,Female,66,Shoes,5,3000.85,Credit Card,16-05-2021,Metropol AVM,15004.25,10502.974999999999,4501.2750000000015,19,Fast Moving,30.00000000000001,Healthy
I337046,C189076,Female,53,Books,4,60.6,Cash,24-10-2021,Kanyon,242.4,169.68,72.72,111,Slow Moving,30.0,Healthy
I227836,C657758,Female,28,Clothing,5,1500.4,Credit Card,24-05-2022,Forum Istanbul,7502.0,5251.4,2250.6000000000004,76,Slow Moving,30.000000000000004,Healthy
I121056,C151197,Female,49,Cosmetics,1,40.66,Cash,13-03-2022,Istinye Park,40.66,28.461999999999996,12.198,65,Fast Moving,30.000000000000004,Healthy
I293112,C176086,Female,32,Clothing,2,600.16,Credit Card,13-01-2021,Mall of Istanbul,1200.32,840.2239999999999,360.096,25,Fast Moving,30.000000000000004,Healthy
I293455,C159642,Male,69,Clothing,3,900.24,Credit Card,04-11-2021,Metrocity,2700.7200000000003,1890.5040000000001,810.2160000000001,107,Slow Moving,30.000000000000004,Healthy
I326945,C283361,Female,60,Clothing,2,600.16,Credit Card,22-08-2021,Kanyon,1200.32,840.2239999999999,360.096,87,Slow Moving,30.000000000000004,Healthy
I306368,C240286,Female,36,Food & Beverage,2,10.46,Cash,25-12-2022,Metrocity,20.92,14.644,6.276000000000002,91,Slow Moving,30.000000000000004,Healthy
